Макар Ильич Красильников;Орел;ш. Кузнецова, д. 677;Мособлгаз;Оториноларинголог;+7 (227) 060-96-73;vlukin@gmail.com;1956-01-21;34813
Фаина Константиновна Мартынова;Долинск;наб. Орловская, д. 5 стр. 5;Сибуглемет;Моторист;+7 309 176 1650;ogolubev@rambler.ru;1957-02-08;185740
Меркушев Илья Евстигнеевич;Ханты-Мансийск;пер. Зои Космодемьянской, д. 67 к. 972;Катерпиллар Евразия (Caterpillar);Таможенник;8 (427) 871-42-90;orjabova@gmail.com;1956-10-18;75904
Лонгин Ефстафьевич Дмитриев;Новый Уренгой;пр. 60 лет Октября, д. 6/4 к. 51;Российская телевизионная и радиовещательная сеть;Особист;+7 (559) 343-1488;pankrat_83@mail.ru;1962-02-17;60146
Зуева Нонна Рудольфовна;Катав-Ивановск;бул. Никитина, д. 6/2 к. 4/8;Юнипро (Uniper);Старшина;+7 (613) 528-1562;fadeevmodest@yahoo.com;1959-10-09;101427
Калашникова Иванна Андреевна;Чокурдах;пр. Пригородный, д. 784;ПК Борец;Учитель;8 (676) 053-39-41;klimentivanov@gmail.com;1953-03-15;193935
Вениамин Харитонович Макаров;Кимры;пер. Правды, д. 177 стр. 501;Новороссийский морской торговый порт;Судебный пристав;+7 865 253 2378;valerjanturov@hotmail.com;2003-12-02;145067
Лыткин Тит Игоревич;Калининград;бул. Рябиновый, д. 66 к. 711;Госкорпорация по ОрВД;Хлебопёк;+7 985 803 7084;blinovazoja@yahoo.com;1964-07-02;176081
Маслов Сергей Анисимович;Печора;пер. Лермонтова, д. 2 стр. 231;Урало-Сибирская металлургическая компания;Таможенник;+7 (394) 169-9971;efimovafevronija@mail.ru;1991-03-08;160321
Котова Варвара Павловна;Мыс Шмидта;бул. Сельский, д. 108 стр. 818;Railgo;Фармацевт;+7 (201) 080-5627;evgeni_2021@hotmail.com;1971-02-09;142705
Коновалов Антип Феодосьевич;Сарапул;пер. Ростовский, д. 815;Новороссийский морской торговый порт;Инженер КИПиА;8 738 789 35 13;davidovgostomisl@hotmail.com;2002-10-31;67239
Прохоров Игорь Данилович;Ульяновск;ул. Мая 1, д. 35 стр. 3;Банк Русский стандарт;Телеграфист;8 (708) 841-38-80;klavdi_2009@gmail.com;1965-06-01;76469
Ирина Валентиновна Никитина;Одинцово;бул. Поселковый, д. 47 стр. 6/5;Акционерный банк Россия;Операционист;+7 (094) 247-24-11;kabanovjuri@gmail.com;1975-09-28;57748
Эрнест Ефстафьевич Прохоров;Карталы;наб. Володарского, д. 749 стр. 5/6;Астеллас Фарма;Семейный врач;+7 315 275 01 25;tvorimirkudrjavtsev@mail.ru;2000-10-16;147514
Пантелеймон Васильевич Анисимов;Шелехов;алл. Юбилейная, д. 556;Hoff (Домашний интерьер);Скульптор;+70442365130;bojan_46@rambler.ru;1992-12-30;171137
Остромир Измаилович Аксенов;Армавир;алл. Фабричная, д. 483 стр. 8;Несте Санкт-Петербург (Neste);Диетолог;8 863 665 0926;nikandrbirjukov@gmail.com;1982-12-05;188106
Серафим Всеволодович Осипов;Катайск;пер. Аэродромный, д. 42;Мираторг;Горняк;+7 679 565 4410;antip_2011@gmail.com;1994-01-30;22961
Зимин Творимир Якубович;Нягань;наб. Монтажников, д. 615;ТД Агроторг;Аллерголог;8 (595) 601-4325;kira_63@yahoo.com;2002-04-24;116696
Соболева Василиса Сергеевна;Барнаул;ул. Гоголя, д. 7/7;Красцветмет;Бухгалтер;+71375046524;savintit@hotmail.com;1956-03-19;57468
Медведев Игнатий Гертрудович;Рязань;ул. Первомайская, д. 772 к. 9;Форд Соллерс Холдинг;Массажист;+7 779 402 0441;valentina_22@yandex.ru;1955-06-03;168983
Ия Тимофеевна Куликова;Завьялиха;ш. Добролюбова, д. 822 стр. 83;Башкирэнерго;Уролог;8 (781) 246-15-32;gostomisl2005@yandex.ru;2001-11-20;56481
Касьян Фролович Николаев;Воскресенск;пр. Блюхера, д. 4 к. 70;Амурская нефтебаза;Адвокат;82442665184;onufri_28@rambler.ru;1978-07-12;103219
Ираида Юльевна Смирнова;Адыгейск;пр. 50 лет ВЛКСМ, д. 908 к. 2;Кари;Тифлопедагог;8 (834) 750-9961;denissitnikov@yandex.ru;1979-07-27;52297
Рыбакова Таисия Владимировна;Северодвинск;наб. Плеханова, д. 9/8 стр. 7;Техкомпания Хуавэй (Huawei);Начальник военного оркестра;+7 761 481 8312;titovpetr@hotmail.com;1970-06-13;72473
Селиверстов Ефим Андреевич;Кимры;алл. Абрикосовая, д. 33 стр. 9;Приосколье;Разведчик;+7 318 821 3158;martintihonov@yandex.ru;1978-02-28;33116
Зиновьев Натан Геннадиевич;Озеры;ул. Спортивная, д. 784 к. 32;Eurasia Drilling Company;Звукорежиссёр;+7 (059) 063-9160;valeri_19@rambler.ru;1963-02-13;135860
Лидия Игоревна Семенова;Кабанск;ул. Широкая, д. 751;Либхерр-Русланд (Liebherr);Поэт;8 (417) 640-86-38;turovaviktorija@gmail.com;1998-02-24;68262
Дарья Вадимовна Назарова;Красновишерск;ш. Западное, д. 24;Ростсельмаш;Профпатолог;+7 (516) 975-19-12;shirjaevoleg@yahoo.com;1954-04-29;167270
Глафира Сергеевна Сысоева;Ессентуки;пр. Павлика Морозова, д. 74 стр. 38;Еврохим;Имиджмейкер;8 758 796 73 67;onufri33@yahoo.com;1993-01-31;79787
Щукина Лидия Леоновна;Махачкала;ш. 60 лет Октября, д. 136 к. 2;Росморпорт;Веб-мастер;8 196 102 1627;izmail1998@gmail.com;1971-04-12;91608
Петухова Наталья Ждановна;Орск;пер. Правды, д. 61 к. 3;Группа Рольф;Инженер-системотехник;+7 780 799 22 26;abramovjulian@mail.ru;1992-03-21;132085
Сафонова Вероника Богдановна;Куртамыш;алл. Амурская, д. 572;Роберт Бош (Robert Bosch);Фальцовщик;8 257 759 0301;osipgrigorev@rambler.ru;1966-04-10;192096
Вера Алексеевна Субботина;Невьянск;бул. Краснофлотский, д. 333;Нефтетранссервис;Прозектор;+7 389 056 9997;hgorshkova@hotmail.com;1956-07-11;172807
Валентина Петровна Сысоева;Щелково;наб. Депутатская, д. 8;Мечел;Биоинженер;8 (776) 994-2379;vitali29@mail.ru;1956-07-02;59184
Козлов Антип Эдуардович;Павловская;ш. Толбухина, д. 3/7;Hoff (Домашний интерьер);Психолог;8 (624) 119-07-59;dorofeevafaina@mail.ru;1986-06-11;196435
Громов Вячеслав Яковлевич;Лодейное Поле;пр. Средний, д. 5;Русснефть;Футуролог;87604274121;feoktist_33@hotmail.com;1979-01-29;175258
Копылов Бажен Юлианович;Мичуринск;бул. Восьмого Марта, д. 6 к. 904;ИКЕА Торг (INGKA);Гидролог;+7 (092) 569-34-21;maksim20@yahoo.com;1973-06-11;176595
Сысоева Глафира Олеговна;Карабудахкент;пер. Вокзальный, д. 461 стр. 260;Интернешнл Пейпер (International Paper);Веб-мастер;8 747 683 1368;tjakusheva@yandex.ru;1982-05-23;110714
Вацлав Ефстафьевич Крылов;Тавда;пер. Тупиковый, д. 2;СДС-Уголь;Зоотехник;8 (458) 908-52-47;terentevolimpi@hotmail.com;1991-07-19;51283
Ия Матвеевна Лапина;Темрюк;бул. Ягодный, д. 2/8 к. 7;Сибирский антрацит;Бактериолог;+7 755 297 6971;artemevprohor@mail.ru;1981-11-13;190883
Корнилов Трифон Ермилович;Биробиджан;алл. Красноармейская, д. 4 стр. 9;Globaltrans;Следователь;8 (236) 924-9984;kondratevbogdan@mail.ru;1966-03-16;73042
Зинаида Петровна Нестерова;Цимлянск;наб. О.Кошевого, д. 3/7;Корпорация ВСМПО-АВИСМА;Биохимик;+7 (639) 449-5259;tzikova@gmail.com;2003-02-27;154139
Егор Ануфриевич Рыбаков;Нальчик;наб. Карьерная, д. 487 стр. 9;Порше Руссланд (Porsche);Танцор;8 (503) 768-3970;izmail_1985@gmail.com;1996-08-05;66603
Русакова Алевтина Архиповна;Новороссийка;наб. Флотская, д. 68 стр. 61;Салым Петролеум;Формовщик;+7 098 971 36 33;raisa_74@mail.ru;1961-06-16;187355
Мартынова Ксения Степановна;Прохладный;алл. Почтовая, д. 9 стр. 4;Иркутская нефтяная компания;Комбайнер;8 (441) 177-1008;anikita1986@gmail.com;1956-01-20;189537
Шашкова Ольга Мироновна;Хасан;пр. Балтийский, д. 17;Мария-Ра;Торговый представитель;+7 (024) 057-34-75;foka_1988@rambler.ru;1998-06-26;47604
Алексей Игоревич Михеев;Клин;бул. Поселковый, д. 617 стр. 395;Российские сети;Кузнец;8 789 561 7339;avdelarionov@rambler.ru;1965-07-26;176315
Сидор Тарасович Карпов;Киренск;пер. Украинский, д. 5/9 стр. 280;Шнейдер Электрик (Schneider Electric);Лаборант;8 621 862 5810;serge63@rambler.ru;1979-03-04;124822
Лидия Кузьминична Дементьева;Печенга;наб. Черняховского, д. 7 к. 6/9;ТД Ункомтех;Снабженец;+7 442 112 5693;denisovafevronija@mail.ru;1974-12-09;188943
Сильвестр Исидорович Овчинников;Верхнее Пенжино;ул. Целинная, д. 517 к. 197;Технониколь;Акушер;87271021884;savelevaristarh@hotmail.com;1991-11-06;167760
Коновалова София Валериевна;Мичуринск;ш. Кленовое, д. 9/6 стр. 699;Банк Ак Барс;Фуражир;87062431086;zmatveeva@rambler.ru;1986-03-01;97547
Артем Харлампович Орехов;Карабулак;алл. Водопроводная, д. 180 к. 39;Ямал СПГ;Кинодраматург;8 (940) 556-90-32;gusevaelena@hotmail.com;1966-08-17;73002
Варвара Георгиевна Максимова;Красноселькуп;алл. Космическая, д. 501 к. 7;Л'Ореаль (L'Oreal);Футуролог;+72815005648;kmishin@yahoo.com;1988-07-09;179567
Ирина Леонидовна Логинова;Внуково (метеост.);пр. Макарова, д. 534 к. 48;Боэс Констракшн (Boes Construction);Безработный;8 903 140 79 71;selivan_43@hotmail.com;1987-08-11;96703
Быков Натан Федотович;Усть-Камчатск;бул. Краснодарский, д. 1/1 к. 6;DDS;Балетмейстер;+7 (134) 681-35-83;nzuev@yandex.ru;1977-02-28;113421
Любовь Филипповна Кондратьева;Объячево;бул. Подстанция, д. 138 к. 60;ДСК Автобан;Растениевод;8 (797) 988-32-72;rodion72@gmail.com;2003-08-15;179290
Тихонова Полина Аскольдовна;Минусинск;наб. Докучаева, д. 5 к. 9;Дочки-Сыночки;Астроном;8 528 883 60 77;radim_1970@yandex.ru;1969-07-15;88288
Лонгин Вилорович Волков;Воркута;бул. Аэродромный, д. 28 к. 7;Нижфарм (Nidda Midco);Машинист локомотива;8 598 591 6744;vladimir_1998@gmail.com;1974-07-28;99992
Зоя Юльевна Гордеева;Курган;пр. Восьмого Марта, д. 3/3 к. 923;Вита Лайн;Астрохимик;8 (959) 703-18-43;zaharovevlampi@hotmail.com;1979-02-17;94040
Мамонтова Нина Руслановна;Радужный;ш. Белинского, д. 290 к. 5/9;Санофи Россия (Sanofi);Сценарист;+7 868 464 20 19;shirjaevjuri@yandex.ru;1956-07-10;116203
Анжелика Ефимовна Громова;Кострома;пер. Загородный, д. 636 к. 3/4;Группа компаний ПИК;Воздухоплаватель;+7 (655) 946-46-41;ustindenisov@yahoo.com;2003-12-10;180085
Кузьма Владиленович Герасимов;Учалы;алл. Западная, д. 6 стр. 7;Бургер Рус (Burger King);Маркшейдер;83896049541;efrem2006@mail.ru;1998-09-03;47076
Карп Фролович Агафонов;Кажим;алл. Балтийская, д. 43;Ново-Уренгойская газовая компания;Портной;8 (805) 601-07-42;lukinaanastasija@rambler.ru;1957-07-10;196819
Соколова Прасковья Алексеевна;Когалым;бул. Запорожский, д. 966 к. 5;Группа Стройтрансгаз;Сексопатолог;+7 007 098 15 09;ershoverofe@yahoo.com;1999-11-12;30815
Адам Давидович Самсонов;Челюскин;алл. Журавлева, д. 170;Эркафарм;Экспедитор;8 351 849 9370;taras1984@yandex.ru;1987-07-18;99452
Евпраксия Сергеевна Ермакова;Белогорск (Амур.);алл. Гастелло, д. 4 стр. 1/5;Архангельский ЦБК;Оператор машинного доения;8 589 392 34 29;baranovaolimpiada@gmail.com;1975-03-09;52442
Эрнст Бориславович Щербаков;Череповец;пер. Рязанский, д. 1 к. 9/4;Российская телевизионная и радиовещательная сеть;Эндоскопист;8 (182) 834-55-10;rodionovmili@mail.ru;1958-06-08;24739
Русакова Полина Рубеновна;Мураши;наб. Металлургов, д. 77;Международный аэропорт Шереметьево;Флорист;+72762635870;samuil98@gmail.com;2000-05-28;151104
Полина Львовна Федотова;Березники;пр. Ягодный, д. 87 стр. 6/3;Первый канал;Танкист;8 465 886 5187;filaret33@mail.ru;1954-05-27;112929
г-н Горбунов Мирослав Владиславович;Усолье Сибирское;бул. Больничный, д. 49;Уральские локомотивы;Портной;85856809012;provfedorov@gmail.com;2000-08-28;148859
Филиппов Кирилл Валерьянович;Москва, МГУ;ш. Тельмана, д. 906 к. 3;Борисхоф 1 (Inchcape);Дипломат;8 (686) 265-98-70;ratmirribakov@yandex.ru;1985-04-14;144807
Медведева Ираида Юрьевна;Малоярославец;пр. Проточный, д. 86 к. 43;ПТК;Психиатр;+72021820879;volkovvadim@gmail.com;2001-08-19;29463
Колобова Марфа Константиновна;Серафимович;бул. Карла Либкнехта, д. 105 стр. 751;Roust;Политолог;+7 943 684 0995;mjasnikovevgeni@gmail.com;1981-08-29;180675
Егоров Болеслав Арсенович;Павловская;наб. Геологическая, д. 6/7 к. 9/2;Норникель;Кредитный консультант;8 (404) 407-85-14;radislav1992@hotmail.com;1977-09-15;143953
Большакова Раиса Андреевна;Учалы;ш. Прохладное, д. 122 к. 48;Тойота Мотор (Toyota);Брокер;+7 (468) 997-12-69;wkapustina@yahoo.com;1953-03-24;190608
Святополк Антипович Дорофеев;Октябрьский (Башк.);пер. Пирогова, д. 4/4 стр. 88;Международный центр;Столяр;+7 (290) 765-05-17;terenti71@yandex.ru;2003-10-01;119502
Ульяна Никифоровна Цветкова;Камышлов;бул. Шоссейный, д. 222 стр. 33;Яндекс;Слесарь;8 972 735 43 47;eliseevavalerija@yandex.ru;1970-11-13;46621
Регина Анатольевна Шубина;Армавир;алл. Карла Маркса, д. 93 стр. 83;Профитмед;Спортивный врач;8 252 381 3508;mamontovkondrati@mail.ru;1959-06-03;157790
Синклитикия Мироновна Трофимова;Саратов;пер. Краснознаменный, д. 6 к. 6/1;Нефтехимсервис;Борт-инженер;+7 086 822 22 09;tandreeva@gmail.com;1979-01-05;125602
Никифор Теймуразович Беляев;Рыльск;алл. Виноградная, д. 1 к. 655;ТГК-16;Редактор;8 589 666 38 65;ruslankoshelev@gmail.com;1958-02-24;69160
Турова Пелагея Борисовна;Новый Оскол;ул. 60 лет Октября, д. 4;ДОМ.РФ;Уборщик;8 (946) 616-11-96;anna_49@yahoo.com;1975-04-07;138424
